Date,Dividends
2000-12-20,0.099000
2001-03-16,0.073000
2001-06-22,0.065000
2001-09-21,0.076000
2001-12-21,0.095000
2002-03-22,0.073000
2002-06-21,0.063000
2002-09-27,0.073000
2002-12-20,0.095000
2003-03-28,0.073000
2003-06-20,0.072000
2003-09-26,0.083000
2003-09-29,0.000000
2003-12-19,0.110000
2004-03-19,0.085000
2004-06-18,0.095000
2004-09-24,0.096000
2004-12-23,0.192000
2005-03-23,0.106000
2005-06-24,0.097000
2005-09-23,0.138000
2005-12-23,0.161000
2006-03-17,0.127000
2006-06-23,0.129000
2006-09-22,0.128000
2006-12-21,0.172000
2007-03-23,0.146000
2007-06-22,0.138000
2007-09-21,0.157000
2007-12-19,0.188000
2008-03-24,0.152000
2008-06-23,0.153000
2008-09-23,0.143000
2008-12-19,0.161000
2009-03-24,0.135000
2009-06-23,0.109000
2009-09-23,0.120000
2009-12-21,0.175000
2010-03-24,0.115000
2010-06-23,0.131000
2010-09-23,0.145000
2010-12-21,0.170000
2011-03-24,0.137000
2011-06-23,0.138000
2011-09-22,0.149000
2011-12-20,0.175000
2012-03-23,0.151000
2012-06-22,0.168000
2012-09-21,0.177000
2012-12-19,0.265000
2013-03-21,0.177000
2013-06-21,0.188000
2013-09-20,0.209000
2013-12-19,0.240000
2014-03-24,0.206000
2014-06-23,0.205000
2014-09-23,0.226000
2014-12-22,0.273000
2015-03-24,0.247000
2015-06-25,0.228000
2015-09-24,0.247000
2015-12-18,0.283000
2016-03-14,0.234000
2016-06-13,0.228000
2016-09-12,0.262000
2016-12-19,0.354000
2017-03-23,0.264000
2017-06-20,0.280000
2017-09-21,0.269000
2017-12-20,0.328000
2018-03-21,0.276000
2018-06-21,0.294000
2018-09-27,0.348000
2018-12-21,0.346000
2019-03-22,0.374000
2019-06-14,0.265000
2019-09-13,0.339000
2019-12-23,0.429000
2020-03-25,0.297000
2020-06-24,0.339000
2020-09-24,0.326000
2020-12-23,0.378000
2021-03-24,0.324000
2021-06-23,0.326000
2021-09-23,0.350000
2021-12-23,0.415000
2022-03-22,0.342000
2022-06-22,0.362000
2022-09-22,0.385000
2022-12-21,0.451000
2023-03-22,0.380000
